timestamp,leadId,nombre,telefono,canalOrigen,painPoint,scoringBot,conversacionCompleta,citaAgendada,fechaCita,asistio,cerroVenta,importeVenta,tiempoRespuestaBot,mensajesIntercambiados,estadoActual
"2025-12-12T19:24:56.178Z","LEAD-1034","Usuario 1034","+34 60 76 1 76","Referidos","Insomnio","A",true,true,"2025-12-15T15:00:00.000Z",true,true,880,7,7,"Cerró Venta"
"2025-12-12T17:18:56.178Z","LEAD-1014","Usuario 1014","+34 61 30 0 27","Facebook","Dolor rodilla","B",true,true,"2025-12-15T15:00:00.000Z",false,false,"",6,5,"No Asistió"
"2025-12-12T12:56:56.178Z","LEAD-1010","Usuario 1010","+34 69 44 43 85","Instagram","Ansiedad","A",true,false,"","",false,"",7,10,"Conversación Activa"
"2025-12-12T11:54:56.178Z","LEAD-1038","Usuario 1038","+34 69 51 22 20","Instagram","Ansiedad","B",true,true,"2025-12-15T13:00:00.000Z",true,true,844,9,16,"Cerró Venta"
"2025-12-11T18:47:56.178Z","LEAD-1086","Usuario 1086","+34 61 82 29 94","Instagram","Pérdida peso","C",true,true,"2025-12-14T16:00:00.000Z",true,false,"",8,12,"No Convirtió"
"2025-12-11T13:52:56.178Z","LEAD-1007","Usuario 1007","+34 61 4 62 80","Facebook","Ansiedad","A",false,false,"","",false,"",1,5,"Conversación Activa"
"2025-12-11T11:41:56.178Z","LEAD-1016","Usuario 1016","+34 60 46 79 61","Google","Estrés laboral","B",true,false,"","",false,"",6,16,"Conversación Activa"
"2025-12-11T07:35:56.178Z","LEAD-1043","Usuario 1043","+34 61 57 49 25","Facebook","Dolor rodilla","B",true,false,"","",false,"",3,7,"Conversación Activa"
"2025-12-10T15:23:56.178Z","LEAD-1031","Usuario 1031","+34 63 7 92 80","Instagram","Ansiedad","C",false,false,"","",false,"",1,13,"Conversación Activa"
"2025-12-09T15:55:56.178Z","LEAD-1047","Usuario 1047","+34 62 18 20 54","Facebook","Dolor espalda","C",true,false,"","",false,"",5,17,"Conversación Activa"
"2025-12-09T14:52:56.178Z","LEAD-1069","Usuario 1069","+34 69 84 42 94","Instagram","Dolor rodilla","B",true,false,"","",false,"",5,22,"Conversación Activa"
"2025-12-09T13:19:56.178Z","LEAD-1042","Usuario 1042","+34 68 15 61 85","Instagram","Dolor rodilla","B",true,true,"2025-12-10T10:00:00.000Z",true,true,634,7,13,"Cerró Venta"
"2025-12-09T11:03:56.178Z","LEAD-1071","Usuario 1071","+34 62 75 29 44","Instagram","Ansiedad","A",true,false,"","",false,"",5,24,"Conversación Activa"
"2025-12-09T10:42:56.178Z","LEAD-1032","Usuario 1032","+34 61 29 76 40","Facebook","Estrés laboral","B",true,false,"","",false,"",1,13,"Conversación Activa"
"2025-12-08T21:11:56.178Z","LEAD-1041","Usuario 1041","+34 64 9 53 71","Instagram","Ansiedad","B",true,false,"","",false,"",5,22,"Conversación Activa"
"2025-12-08T16:38:56.178Z","LEAD-1097","Usuario 1097","+34 63 52 40 22","Referidos","Dolor rodilla","A",true,false,"","",false,"",3,21,"Conversación Activa"
"2025-12-08T09:43:56.178Z","LEAD-1057","Usuario 1057","+34 67 90 62 56","Facebook","Estrés laboral","B",true,false,"","",false,"",9,24,"Conversación Activa"
"2025-12-07T16:45:56.178Z","LEAD-1026","Usuario 1026","+34 67 27 11 4","Instagram","Pérdida peso","B",true,true,"2025-12-08T16:00:00.000Z",false,false,"",4,23,"No Asistió"
"2025-12-07T16:45:56.178Z","LEAD-1033","Usuario 1033","+34 62 8 88 87","Facebook","Ansiedad","A",true,true,"2025-12-09T11:00:00.000Z",true,true,778,3,18,"Cerró Venta"
"2025-12-07T10:13:56.178Z","LEAD-1024","Usuario 1024","+34 66 53 56 82","WhatsApp Directo","Insomnio","A",true,false,"","",false,"",1,8,"Conversación Activa"
"2025-12-06T20:30:56.178Z","LEAD-1020","Usuario 1020","+34 65 68 57 79","WhatsApp Directo","Estrés laboral","B",true,false,"","",false,"",3,24,"Conversación Activa"
"2025-12-06T17:37:56.178Z","LEAD-1002","Usuario 1002","+34 60 60 91 88","Referidos","Dolor espalda","B",true,false,"","",false,"",9,7,"Conversación Activa"
"2025-12-06T14:04:56.178Z","LEAD-1063","Usuario 1063","+34 65 34 11 19","Referidos","Dolor espalda","B",true,false,"","",false,"",2,20,"Conversación Activa"
"2025-12-06T11:59:56.178Z","LEAD-1091","Usuario 1091","+34 61 14 42 80","WhatsApp Directo","Dolor rodilla","A",true,true,"2025-12-09T09:00:00.000Z",true,true,808,4,14,"Cerró Venta"
"2025-12-05T14:05:56.178Z","LEAD-1090","Usuario 1090","+34 63 49 6 80","Google","Ansiedad","A",true,false,"","",false,"",9,5,"Conversación Activa"
"2025-12-04T19:00:56.178Z","LEAD-1025","Usuario 1025","+34 64 11 20 89","Instagram","Dolor espalda","A",true,false,"","",false,"",2,7,"Conversación Activa"
"2025-12-04T16:45:56.178Z","LEAD-1065","Usuario 1065","+34 64 18 68 76","WhatsApp Directo","Dolor rodilla","B",true,false,"","",false,"",2,21,"Conversación Activa"
"2025-12-04T11:09:56.178Z","LEAD-1000","Usuario 1000","+34 68 29 88 93","Instagram","Dolor rodilla","A",true,true,"2025-12-06T14:00:00.000Z",true,false,"",6,10,"No Convirtió"
"2025-12-04T10:51:56.178Z","LEAD-1021","Usuario 1021","+34 64 13 76 46","Facebook","Estrés laboral","D",true,false,"","",false,"",10,20,"Conversación Activa"
"2025-12-03T21:14:56.178Z","LEAD-1059","Usuario 1059","+34 69 71 90 61","Facebook","Pérdida peso","A",false,false,"","",false,"",7,6,"Conversación Activa"
"2025-12-03T11:37:56.178Z","LEAD-1099","Usuario 1099","+34 62 77 38 29","Facebook","Insomnio","A",true,true,"2025-12-06T12:00:00.000Z",false,false,"",3,21,"No Asistió"
"2025-12-03T09:01:56.178Z","LEAD-1004","Usuario 1004","+34 62 52 25 85","Instagram","Insomnio","C",true,false,"","",false,"",2,13,"Conversación Activa"
"2025-12-02T19:21:56.178Z","LEAD-1077","Usuario 1077","+34 68 49 73 76","Referidos","Ansiedad","B",true,false,"","",false,"",8,23,"Conversación Activa"
"2025-12-02T17:45:56.178Z","LEAD-1056","Usuario 1056","+34 64 41 81 91","Referidos","Insomnio","B",true,false,"","",false,"",1,17,"Conversación Activa"
"2025-12-02T13:08:56.178Z","LEAD-1075","Usuario 1075","+34 64 66 88 3","Instagram","Pérdida peso","B",true,true,"2025-12-04T10:00:00.000Z",true,true,504,8,17,"Cerró Venta"
"2025-12-02T13:08:56.178Z","LEAD-1080","Usuario 1080","+34 63 31 94 13","Google","Estrés laboral","B",true,false,"","",false,"",7,10,"Conversación Activa"
"2025-12-02T08:13:56.178Z","LEAD-1062","Usuario 1062","+34 69 60 76 2","WhatsApp Directo","Pérdida peso","C",true,false,"","",false,"",5,20,"Conversación Activa"
"2025-12-01T18:47:56.178Z","LEAD-1048","Usuario 1048","+34 61 9 46 8","Facebook","Insomnio","B",true,false,"","",false,"",10,17,"Conversación Activa"
"2025-12-01T07:56:56.178Z","LEAD-1046","Usuario 1046","+34 64 96 78 34","Instagram","Dolor rodilla","A",false,false,"","",false,"",2,14,"Conversación Activa"
"2025-11-30T07:55:56.178Z","LEAD-1070","Usuario 1070","+34 69 44 56 71","Facebook","Pérdida peso","B",true,false,"","",false,"",10,23,"Conversación Activa"
"2025-11-29T12:23:56.178Z","LEAD-1030","Usuario 1030","+34 63 41 11 81","WhatsApp Directo","Dolor espalda","B",true,false,"","",false,"",8,9,"Conversación Activa"
"2025-11-28T17:56:56.178Z","LEAD-1028","Usuario 1028","+34 60 24 32 1","Facebook","Insomnio","B",true,true,"2025-11-29T12:00:00.000Z",false,false,"",6,23,"No Asistió"
"2025-11-28T17:07:56.178Z","LEAD-1076","Usuario 1076","+34 65 2 79 70","Facebook","Pérdida peso","B",true,true,"2025-11-29T09:00:00.000Z",true,true,895,10,16,"Cerró Venta"
"2025-11-28T16:26:56.178Z","LEAD-1051","Usuario 1051","+34 68 55 16 19","Referidos","Pérdida peso","B",true,true,"2025-11-29T10:00:00.000Z",true,true,976,10,20,"Cerró Venta"
"2025-11-27T18:11:56.178Z","LEAD-1066","Usuario 1066","+34 61 14 24 63","Facebook","Estrés laboral","C",true,false,"","",false,"",8,13,"Conversación Activa"
"2025-11-27T10:56:56.178Z","LEAD-1027","Usuario 1027","+34 62 87 61 4","Instagram","Estrés laboral","A",true,false,"","",false,"",6,14,"Conversación Activa"
"2025-11-27T10:06:56.178Z","LEAD-1054","Usuario 1054","+34 61 87 61 85","WhatsApp Directo","Ansiedad","B",true,true,"2025-11-30T10:00:00.000Z",false,false,"",8,22,"No Asistió"
"2025-11-26T18:28:56.178Z","LEAD-1084","Usuario 1084","+34 64 93 83 75","Instagram","Insomnio","A",true,true,"2025-11-28T11:00:00.000Z",true,true,864,4,23,"Cerró Venta"
"2025-11-26T14:15:56.178Z","LEAD-1055","Usuario 1055","+34 60 31 7 21","Instagram","Insomnio","B",true,false,"","",false,"",4,12,"Conversación Activa"
"2025-11-26T12:17:56.178Z","LEAD-1083","Usuario 1083","+34 65 36 62 15","Facebook","Dolor espalda","A",true,false,"","",false,"",1,8,"Conversación Activa"
"2025-11-25T20:07:56.178Z","LEAD-1018","Usuario 1018","+34 67 73 6 57","Facebook","Insomnio","B",true,true,"2025-11-28T13:00:00.000Z",true,true,1144,2,22,"Cerró Venta"
"2025-11-25T19:04:56.178Z","LEAD-1052","Usuario 1052","+34 65 47 40 71","Referidos","Ansiedad","B",true,true,"2025-11-28T13:00:00.000Z",false,false,"",10,22,"No Asistió"
"2025-11-25T14:32:56.178Z","LEAD-1006","Usuario 1006","+34 63 10 39 2","WhatsApp Directo","Dolor espalda","C",true,false,"","",false,"",9,12,"Conversación Activa"
"2025-11-25T14:03:56.178Z","LEAD-1082","Usuario 1082","+34 67 10 80 60","WhatsApp Directo","Ansiedad","B",true,true,"2025-11-28T13:00:00.000Z",true,false,"",10,21,"No Convirtió"
"2025-11-25T12:17:56.178Z","LEAD-1064","Usuario 1064","+34 68 81 17 35","WhatsApp Directo","Dolor espalda","B",true,false,"","",false,"",1,22,"Conversación Activa"
"2025-11-25T11:52:56.178Z","LEAD-1079","Usuario 1079","+34 62 14 61 28","Facebook","Dolor rodilla","B",false,false,"","",false,"",4,8,"Conversación Activa"
"2025-11-24T20:39:56.178Z","LEAD-1073","Usuario 1073","+34 67 82 84 3","Facebook","Dolor rodilla","B",true,false,"","",false,"",7,17,"Conversación Activa"
"2025-11-24T19:43:56.178Z","LEAD-1039","Usuario 1039","+34 63 8 72 95","Facebook","Estrés laboral","D",true,false,"","",false,"",10,14,"Conversación Activa"
"2025-11-24T19:28:56.178Z","LEAD-1088","Usuario 1088","+34 60 98 20 92","Referidos","Estrés laboral","A",true,false,"","",false,"",1,9,"Conversación Activa"
"2025-11-24T19:12:56.178Z","LEAD-1093","Usuario 1093","+34 65 58 98 64","WhatsApp Directo","Pérdida peso","D",true,true,"2025-11-25T13:00:00.000Z",true,true,512,8,22,"Cerró Venta"
"2025-11-24T15:48:56.178Z","LEAD-1019","Usuario 1019","+34 67 80 33 5","Facebook","Dolor espalda","C",true,false,"","",false,"",6,21,"Conversación Activa"
"2025-11-24T14:29:56.178Z","LEAD-1022","Usuario 1022","+34 64 9 74 10","Instagram","Ansiedad","B",true,false,"","",false,"",5,24,"Conversación Activa"
"2025-11-24T11:00:56.178Z","LEAD-1068","Usuario 1068","+34 61 13 0 83","Instagram","Insomnio","B",true,true,"2025-11-27T12:00:00.000Z",true,true,1128,7,14,"Cerró Venta"
"2025-11-23T09:59:56.178Z","LEAD-1050","Usuario 1050","+34 66 71 23 99","Facebook","Insomnio","A",true,true,"2025-11-24T09:00:00.000Z",true,true,982,4,16,"Cerró Venta"
"2025-11-22T20:49:56.178Z","LEAD-1058","Usuario 1058","+34 69 22 59 34","Referidos","Ansiedad","A",true,true,"2025-11-25T14:00:00.000Z",true,true,595,9,8,"Cerró Venta"
"2025-11-22T17:28:56.178Z","LEAD-1035","Usuario 1035","+34 65 9 44 78","WhatsApp Directo","Dolor rodilla","B",false,false,"","",false,"",2,8,"Conversación Activa"
"2025-11-22T15:38:56.178Z","LEAD-1029","Usuario 1029","+34 61 50 76 84","Instagram","Estrés laboral","B",true,true,"2025-11-23T14:00:00.000Z",false,false,"",10,11,"No Asistió"
"2025-11-22T14:08:56.178Z","LEAD-1001","Usuario 1001","+34 64 60 13 65","Facebook","Estrés laboral","C",true,false,"","",false,"",6,23,"Conversación Activa"
"2025-11-22T10:57:56.178Z","LEAD-1087","Usuario 1087","+34 63 6 3 47","Referidos","Estrés laboral","A",true,true,"2025-11-25T11:00:00.000Z",true,true,761,8,11,"Cerró Venta"
"2025-11-21T21:22:56.178Z","LEAD-1011","Usuario 1011","+34 69 85 16 29","Facebook","Insomnio","B",true,false,"","",false,"",3,9,"Conversación Activa"
"2025-11-21T20:08:56.178Z","LEAD-1060","Usuario 1060","+34 61 64 42 48","Instagram","Ansiedad","B",true,true,"2025-11-22T14:00:00.000Z",true,false,"",9,7,"No Convirtió"
"2025-11-21T18:35:56.178Z","LEAD-1045","Usuario 1045","+34 64 60 6 37","Instagram","Ansiedad","D",true,false,"","",false,"",3,18,"Conversación Activa"
"2025-11-21T15:57:56.178Z","LEAD-1067","Usuario 1067","+34 66 90 74 29","Facebook","Ansiedad","A",false,false,"","",false,"",1,14,"Conversación Activa"
"2025-11-21T15:51:56.178Z","LEAD-1095","Usuario 1095","+34 67 94 88 59","Instagram","Estrés laboral","B",true,false,"","",false,"",4,15,"Conversación Activa"
"2025-11-21T11:49:56.178Z","LEAD-1061","Usuario 1061","+34 63 9 88 68","Facebook","Ansiedad","D",true,false,"","",false,"",1,13,"Conversación Activa"
"2025-11-21T08:21:56.178Z","LEAD-1085","Usuario 1085","+34 67 65 92 32","WhatsApp Directo","Ansiedad","D",true,false,"","",false,"",1,7,"Conversación Activa"
"2025-11-20T20:39:56.178Z","LEAD-1005","Usuario 1005","+34 60 10 56 77","WhatsApp Directo","Dolor espalda","C",true,false,"","",false,"",6,7,"Conversación Activa"
"2025-11-20T17:58:56.178Z","LEAD-1074","Usuario 1074","+34 62 78 45 37","Facebook","Pérdida peso","A",true,true,"2025-11-22T12:00:00.000Z",true,true,1072,4,22,"Cerró Venta"
"2025-11-20T17:23:56.178Z","LEAD-1023","Usuario 1023","+34 61 35 79 23","Google","Insomnio","A",false,false,"","",false,"",3,15,"Conversación Activa"
"2025-11-20T10:55:56.178Z","LEAD-1078","Usuario 1078","+34 61 58 14 53","Instagram","Insomnio","B",true,true,"2025-11-23T10:00:00.000Z",false,false,"",2,17,"No Asistió"
"2025-11-19T21:38:56.178Z","LEAD-1049","Usuario 1049","+34 60 31 63 88","Instagram","Dolor espalda","A",true,true,"2025-11-22T12:00:00.000Z",true,true,1175,1,20,"Cerró Venta"
"2025-11-19T14:33:56.178Z","LEAD-1096","Usuario 1096","+34 64 30 14 36","Facebook","Dolor rodilla","D",true,false,"","",false,"",8,21,"Conversación Activa"
"2025-11-19T10:19:56.178Z","LEAD-1094","Usuario 1094","+34 65 7 57 2","Instagram","Dolor rodilla","B",true,true,"2025-11-20T14:00:00.000Z",true,true,943,2,13,"Cerró Venta"
"2025-11-19T07:15:56.178Z","LEAD-1008","Usuario 1008","+34 68 33 46 40","Instagram","Pérdida peso","B",true,false,"","",false,"",5,24,"Conversación Activa"
